source_sector,target_sector,source_variable,target_variable,lag,n_obs,f_stat,p_value,df_denom,df_num,status,error_message
SteelMaterials,ConsumerStaples,sent_SteelMaterials,sent_ConsumerStaples,4,270,0.3467781145197462,0.8461475133287784,257.0,4,ok,
SteelMaterials,ConsumerStaples,sent_SteelMaterials,sent_ConsumerStaples,5,270,0.2604951771837717,0.9342304987691211,254.0,5,ok,
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,sent_ConsumerDiscretionary,1,270,1.8246697955272033,0.17790636787506867,266.0,1,ok,
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,sent_ConsumerDiscretionary,2,270,0.8094531868127736,0.4462071139622323,263.0,2,ok,
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,sent_ConsumerDiscretionary,3,270,0.6308796682130708,0.5956758532761277,260.0,3,ok,
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,sent_ConsumerDiscretionary,4,270,0.7234739016867205,0.5765883967606069,257.0,4,ok,
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,sent_ConsumerDiscretionary,5,270,0.6500669781113915,0.66170078692319,254.0,5,ok,
SteelMaterials,Energy,sent_SteelMaterials,sent_Energy,1,270,0.23408633538471688,0.6289083499209035,266.0,1,ok,
SteelMaterials,Energy,sent_SteelMaterials,sent_Energy,2,270,0.156677265430707,0.8550596879691,263.0,2,ok,
SteelMaterials,Energy,sent_SteelMaterials,sent_Energy,3,270,0.2978263361735553,0.8269576747059869,260.0,3,ok,
SteelMaterials,Energy,sent_SteelMaterials,sent_Energy,4,270,2.9627872189894155,0.020318272743427887,257.0,4,ok,
SteelMaterials,Energy,sent_SteelMaterials,sent_Energy,5,270,2.3834066090387953,0.038919667343884176,254.0,5,ok,
SteelMaterials,IndustrialLogistics,sent_SteelMaterials,sent_IndustrialLogistics,1,270,0.6854008489975575,0.40847528433672775,266.0,1,ok,
SteelMaterials,IndustrialLogistics,sent_SteelMaterials,sent_IndustrialLogistics,2,270,0.9824879107147774,0.3757482849814612,263.0,2,ok,
SteelMaterials,IndustrialLogistics,sent_SteelMaterials,sent_IndustrialLogistics,3,270,0.43681234719243195,0.7268418373449499,260.0,3,ok,
SteelMaterials,IndustrialLogistics,sent_SteelMaterials,sent_IndustrialLogistics,4,270,0.3688612014297882,0.830718882576496,257.0,4,ok,
