source_sector,target_sector,source_variable,target_variable,best_lag,n_obs,f_stat,p_value,p_value_fdr_bh,p_value_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,alpha,lag_selection_method,ljungbox_pvalue,ljungbox_white_noise,status,error_message,edge_weight
SteelMaterials,RealEstate,sent_SteelMaterials,ret_RealEstate,2,250,2.435014009889464,0.08973137329712916,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.42432676738738834,True,ok,,0.5077865240536513
SteelMaterials,Technology,sent_SteelMaterials,ret_Technology,1,250,1.7412577962865485,0.18820628944983261,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.12992748388478115,True,ok,,0.38390721475816286
SteelMaterials,ConsumerStaples,sent_SteelMaterials,ret_ConsumerStaples,1,250,1.3483265604098509,0.24669637317820564,0.4302378680754735,1.0,False,False,False,0.05,var_aic,0.10589132926606994,True,ok,,0.36629136714139393
SteelMaterials,ConsumerDiscretionary,sent_SteelMaterials,ret_ConsumerDiscretionary,2,250,0.4215302192441295,0.6565209455234154,0.7774590144356236,1.0,False,False,False,0.05,var_aic,0.19503692556739968,True,ok,,0.10932249654371937
SteelMaterials,Energy,sent_SteelMaterials,ret_Energy,3,250,3.0188337592229715,0.03053612668326095,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.14450521041187153,True,ok,,0.6927609530303049
SteelMaterials,IndustrialLogistics,sent_SteelMaterials,ret_IndustrialLogistics,2,250,1.690094890171354,0.18666346126668681,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.1945941858800729,True,ok,,0.38390721475816286
SteelMaterials,Healthcare,sent_SteelMaterials,ret_Healthcare,2,250,1.2580269534932993,0.28605857656227196,0.45167143667727155,1.0,False,False,False,0.05,var_aic,0.7312126314225424,True,ok,,0.3451773729889158
SteelMaterials,Utilities,sent_SteelMaterials,ret_Utilities,2,250,0.06586928730714886,0.9362699473790084,0.993678540072064,1.0,False,False,False,0.05,var_aic,0.11255156095271553,True,ok,,0.0027540892972587705
Technology,Banking,sent_Technology,ret_Banking,1,250,1.8115756871301272,0.1795583910702493,0.41313575732890084,1.0,False,False,False,0.05,var_aic,0.1803136998248009,True,ok,,0.38390721475816286
Technology,RealEstate,sent_Technology,ret_RealEstate,1,250,2.1016628824561514,0.14841270929861194,0.4011082191330439,1.0,False,False,False,0.05,var_aic,0.10110419055286682,True,ok,,0.3967384387723919
Technology,SteelMaterials,sent_Technology,ret_SteelMaterials,2,250,0.6306041650469457,0.5331388736032538,0.7056249797690125,1.0,False,False,False,0.05,var_aic,0.20546315764667794,True,ok,,0.15142605318262226
Technology,ConsumerStaples,sent_Technology,ret_ConsumerStaples,1,250,0.05313883750111672,0.8178803782191081,0.9087559757990089,1.0,False,False,False,0.05,var_aic,0.10869291835521588,True,ok,,0.04155272028916262
Technology,ConsumerDiscretionary,sent_Technology,ret_ConsumerDiscretionary,1,250,0.10919605872347736,0.7413425314201669,0.855395228561731,1.0,False,False,False,0.05,var_aic,0.03863943979642536,False,ok,,0.0678331765892503
Technology,Energy,sent_Technology,ret_Energy,5,250,2.530628117958915,0.029683604382296218,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.8430447669846803,True,ok,,0.6927609530303049
Technology,IndustrialLogistics,sent_Technology,ret_IndustrialLogistics,2,250,2.297224085852374,0.10271706936104527,0.3294977873602254,1.0,False,False,False,0.05,var_aic,0.31233779455780497,True,ok,,0.48214749742951907
Technology,Healthcare,sent_Technology,ret_Healthcare,2,250,2.692368092936592,0.06974071810534331,0.31060859987467787,1.0,False,False,False,0.05,var_aic,0.15948451997213348,True,ok,,0.5077865240536513
Technology,Utilities,sent_Technology,ret_Utilities,2,250,1.9017022662250198,0.15152977167248324,0.4011082191330439,1.0,False,False,False,0.05,var_aic,0.12966536025737177,True,ok,,0.3967384387723919
ConsumerStaples,Banking,sent_ConsumerStaples,ret_Banking,2,250,1.5465543593065203,0.2150694730546834,0.4207880994548154,1.0,False,False,False,0.05,var_aic,0.8224726219194898,True,ok,,0.37593655120742814
ConsumerStaples,RealEstate,sent_ConsumerStaples,ret_RealEstate,1,250,0.28959038890380545,0.5909696811088334,0.7411071300008216,1.0,False,False,False,0.05,var_aic,0.11641955788533766,True,ok,,0.1301190084777789
ConsumerStaples,SteelMaterials,sent_ConsumerStaples,ret_SteelMaterials,2,250,1.3145373598587893,0.2705016468049136,0.4348559387910671,1.0,False,False,False,0.05,var_aic,0.13568270101619298,True,ok,,0.361654594425523
ConsumerStaples,Technology,sent_ConsumerStaples,ret_Technology,3,250,3.0342070102171657,0.029925497391675902,0.20287991160060753,1.0,True,False,False,0.05,var_aic,0.4699123413287295,True,ok,,0.6927609530303049
