trade_date,sector_label,article_count,row_count,weighted_article_count,sentiment_mean,sentiment_sum,weighted_sentiment_sum,sentiment_weighted_mean,positive_count,neutral_count,negative_count,positive_weighted_count,neutral_weighted_count,negative_weighted_count
2025-07-02,ConsumerDiscretionary,14,14,13.0,0.18181818181818182,2.0,1.5,0.14285714285714285,3,7,1,2.5,7.0,1.0
2025-07-02,ConsumerStaples,11,11,10.0,0.42857142857142855,3.0,3.0,0.5,4,2,1,4.0,1.0,1.0
2025-07-02,Energy,6,6,4.25,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.0
2025-07-02,Healthcare,5,5,5.0,-0.5,-1.0,-1.0,-0.5,0,1,1,0.0,1.0,1.0
2025-07-02,IndustrialLogistics,5,5,5.0,0.25,1.0,1.0,0.25,1,3,0,1.0,3.0,0.0
2025-07-02,RealEstate,2,2,2.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-02,SteelMaterials,3,3,3.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-02,Technology,3,3,2.25,-0.5,-1.0,-1.0,-0.5,0,1,1,0.0,1.0,1.0
2025-07-02,Utilities,6,6,3.75,0.5,1.0,0.5,0.5,1,1,0,0.5,0.5,0.0
2025-07-03,Banking,12,12,11.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-03,ConsumerDiscretionary,13,13,12.5,0.25,2.0,2.0,0.26666666666666666,2,6,0,2.0,5.5,0.0
2025-07-03,ConsumerStaples,13,13,11.5,0.25,2.0,2.0,0.26666666666666666,3,4,1,3.0,3.5,1.0
2025-07-03,Energy,5,5,5.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-03,Healthcare,3,3,3.0,-1.0,-2.0,-2.0,-1.0,0,0,2,0.0,0.0,2.0
2025-07-03,IndustrialLogistics,2,2,2.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-03,RealEstate,2,2,2.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-03,SteelMaterials,3,3,2.5,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-03,Technology,4,4,3.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.0
2025-07-03,Utilities,8,8,6.0,-0.5,-1.0,-1.0,-0.6666666666666666,0,1,1,0.0,0.5,1.0
2025-07-04,Banking,10,10,9.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-04,ConsumerDiscretionary,19,19,16.666666666666664,0.3076923076923077,4.0,4.666666666666666,0.39999999999999997,5,7,1,5.0,6.333333333333333,0.3333333333333333
2025-07-04,ConsumerStaples,9,9,7.333333333333333,0.16666666666666666,1.0,1.6666666666666665,0.31249999999999994,3,1,2,3.0,1.0,1.3333333333333333
2025-07-04,Energy,3,3,1.8333333333333333,0.0,0.0,0.0,0.0,0,2,0,0.0,1.3333333333333333,0.0
2025-07-04,Healthcare,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-04,IndustrialLogistics,3,3,3.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-04,SteelMaterials,3,3,3.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-04,Technology,2,2,2.0,-0.5,-1.0,-1.0,-0.5,0,1,1,0.0,1.0,1.0
2025-07-04,Utilities,11,11,8.166666666666666,-0.3333333333333333,-1.0,-0.3333333333333333,-0.2,0,2,1,0.0,1.3333333333333333,0.3333333333333333
2025-07-07,Banking,19,19,16.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-07,ConsumerDiscretionary,37,37,32.33333333333333,0.22727272727272727,5.0,3.333333333333333,0.17699115044247787,7,13,2,4.833333333333334,12.5,1.5
2025-07-07,ConsumerStaples,23,23,20.0,0.058823529411764705,1.0,1.5,0.09090909090909091,6,6,5,6.0,6.0,4.5
2025-07-07,Energy,11,11,8.0,1.0,4.0,3.0,1.0,4,0,0,3.0,0.0,0.0
2025-07-07,Healthcare,4,4,3.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-07,IndustrialLogistics,4,4,4.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-07,RealEstate,4,4,4.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-07,SteelMaterials,7,7,6.5,0.0,0.0,0.0,0.0,0,2,0,0.0,2.0,0.0
2025-07-07,Technology,11,11,8.833333333333332,0.1,1.0,-0.16666666666666674,-0.02127659574468086,3,5,2,1.3333333333333333,5.0,1.5
2025-07-07,Utilities,25,25,19.833333333333332,0.0,0.0,-0.6666666666666667,-0.08510638297872342,4,4,4,1.8333333333333333,3.5,2.5
2025-07-08,Banking,18,18,15.833333333333332,,,,,0,0,0,0.0,0.0,0.0
2025-07-08,ConsumerDiscretionary,16,16,14.333333333333332,0.3,3.0,2.5,0.2631578947368421,3,7,0,2.5,7.0,0.0
2025-07-08,ConsumerStaples,6,6,5.0,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0,2,1,0.0,2.0,1.0
2025-07-08,Energy,6,6,6.0,-1.0,-1.0,-1.0,-1.0,0,0,1,0.0,0.0,1.0
2025-07-08,IndustrialLogistics,6,6,6.0,1.0,2.0,2.0,1.0,2,0,0,2.0,0.0,0.0
2025-07-08,RealEstate,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-08,SteelMaterials,2,2,1.3333333333333333,,,,,0,0,0,0.0,0.0,0.0
2025-07-08,Technology,2,2,1.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.0
2025-07-08,Utilities,6,6,4.5,0.5,1.0,0.5,0.5,1,1,0,0.5,0.5,0.0
2025-07-09,Banking,6,6,5.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-09,ConsumerDiscretionary,20,20,16.5,0.2,2.0,2.0,0.2222222222222222,3,6,1,2.5,6.0,0.5
2025-07-09,ConsumerStaples,16,16,13.0,-0.2222222222222222,-2.0,-1.5,-0.1875,2,3,4,2.0,2.5,3.5
2025-07-09,Energy,4,4,3.0,0.5,1.0,1.0,0.5,1,1,0,1.0,1.0,0.0
2025-07-09,Healthcare,3,3,1.8333333333333333,1.0,1.0,0.5,1.0,1,0,0,0.5,0.0,0.0
2025-07-09,IndustrialLogistics,3,3,2.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-09,RealEstate,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-09,SteelMaterials,5,5,3.5,0.0,0.0,0.0,0.0,0,2,0,0.0,1.0,0.0
2025-07-09,Technology,4,4,2.8333333333333335,0.0,0.0,0.0,0.0,0,2,0,0.0,2.0,0.0
2025-07-09,Utilities,10,10,6.333333333333333,0.5,2.0,1.0,0.4,2,2,0,1.0,1.5,0.0
2025-07-10,Banking,10,10,9.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-10,ConsumerDiscretionary,16,16,14.5,0.5,2.0,2.0,0.5,2,2,0,2.0,2.0,0.0
2025-07-10,ConsumerStaples,11,11,10.5,0.3333333333333333,2.0,2.0,0.3333333333333333,3,2,1,3.0,2.0,1.0
2025-07-10,Energy,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-10,Healthcare,1,1,0.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-10,IndustrialLogistics,8,8,7.5,-0.3333333333333333,-1.0,-1.0,-0.3333333333333333,0,2,1,0.0,2.0,1.0
2025-07-10,RealEstate,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-10,SteelMaterials,3,3,2.5,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-10,Technology,6,6,5.0,-0.16666666666666666,-1.0,-1.0,-0.2,1,3,2,0.5,3.0,1.5
2025-07-10,Utilities,10,10,8.0,0.0,0.0,0.0,0.0,1,3,1,0.5,3.0,0.5
2025-07-11,Banking,5,5,4.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-11,ConsumerDiscretionary,14,14,9.916666666666666,0.1,1.0,0.5833333333333333,0.09090909090909091,3,5,2,1.8333333333333333,3.333333333333333,1.25
2025-07-11,ConsumerStaples,11,11,9.083333333333332,0.0,0.0,0.75,0.13432835820895522,1,5,1,1.0,4.333333333333333,0.25
2025-07-11,Energy,4,4,2.833333333333333,0.0,0.0,0.0,0.0,0,1,0,0.0,0.3333333333333333,0.0
2025-07-11,Healthcare,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-11,IndustrialLogistics,3,3,3.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-11,RealEstate,3,3,2.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-11,SteelMaterials,2,2,2.0,-1.0,-1.0,-1.0,-1.0,0,0,1,0.0,0.0,1.0
2025-07-11,Technology,5,5,3.0833333333333335,0.3333333333333333,1.0,1.0833333333333333,0.6842105263157895,2,0,1,1.3333333333333333,0.0,0.25
2025-07-11,Utilities,8,8,4.583333333333333,0.16666666666666666,1.0,0.5833333333333333,0.18918918918918917,2,3,1,0.8333333333333333,2.0,0.25
2025-07-14,Banking,18,18,15.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-14,ConsumerDiscretionary,29,29,25.5,0.2857142857142857,4.0,4.5,0.36,5,8,1,5.0,7.0,0.5
2025-07-14,ConsumerStaples,17,17,16.0,0.13333333333333333,2.0,2.0,0.14285714285714285,4,9,2,4.0,8.0,2.0
2025-07-14,Energy,11,11,9.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-14,Healthcare,8,8,6.833333333333333,0.5,2.0,1.3333333333333333,0.39999999999999997,2,2,0,1.3333333333333333,2.0,0.0
2025-07-14,IndustrialLogistics,18,18,17.5,0.16666666666666666,1.0,1.0,0.16666666666666666,2,3,1,2.0,3.0,1.0
2025-07-14,RealEstate,3,3,3.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-14,SteelMaterials,7,7,5.5,0.5,1.0,1.0,0.6666666666666666,1,1,0,1.0,0.5,0.0
2025-07-14,Technology,8,8,5.833333333333333,0.6,3.0,1.8333333333333333,0.55,3,2,0,1.8333333333333333,1.5,0.0
2025-07-14,Utilities,17,17,12.833333333333332,0.4,2.0,1.3333333333333333,0.4,3,1,1,1.8333333333333333,1.0,0.5
2025-07-15,Banking,13,13,12.333333333333334,,,,,0,0,0,0.0,0.0,0.0
2025-07-15,ConsumerDiscretionary,21,21,14.5,0.0,0.0,0.16666666666666669,0.027027027027027032,1,7,1,0.5,5.333333333333333,0.3333333333333333
2025-07-15,ConsumerStaples,6,6,4.5,-0.4,-2.0,-1.5,-0.375,0,3,2,0.0,2.5,1.5
2025-07-15,Energy,7,7,4.166666666666666,-0.5,-1.0,-0.3333333333333333,-0.5,0,1,1,0.0,0.3333333333333333,0.3333333333333333
2025-07-15,Healthcare,3,3,2.0,-0.5,-1.0,-0.5,-0.5,0,1,1,0.0,0.5,0.5
2025-07-15,IndustrialLogistics,7,7,6.0,0.25,1.0,1.0,0.25,2,1,1,2.0,1.0,1.0
2025-07-15,RealEstate,2,2,2.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-15,SteelMaterials,3,3,1.1666666666666665,0.0,0.0,0.0,0.0,0,1,0,0.0,0.3333333333333333,0.0
2025-07-15,Technology,7,7,4.666666666666667,0.2,1.0,1.1666666666666667,0.30434782608695654,2,2,1,1.5,2.0,0.3333333333333333
2025-07-15,Utilities,17,17,9.666666666666666,0.6,3.0,2.0,0.6666666666666666,3,2,0,2.0,1.0,0.0
2025-07-16,Banking,12,12,11.0,-1.0,-1.0,-1.0,-1.0,0,0,1,0.0,0.0,1.0
2025-07-16,ConsumerDiscretionary,22,22,17.833333333333332,0.5555555555555556,5.0,4.0,0.5333333333333333,5,4,0,4.0,3.5,0.0
2025-07-16,ConsumerStaples,6,6,5.5,0.0,0.0,0.0,0.0,2,0,2,2.0,0.0,2.0
2025-07-16,Energy,4,4,3.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-16,Healthcare,2,2,2.0,-1.0,-2.0,-2.0,-1.0,0,0,2,0.0,0.0,2.0
2025-07-16,IndustrialLogistics,5,5,5.0,0.0,0.0,0.0,0.0,0,2,0,0.0,2.0,0.0
2025-07-16,RealEstate,2,2,2.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-16,SteelMaterials,4,4,3.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-16,Technology,6,6,4.833333333333333,0.75,3.0,3.0,0.75,3,1,0,3.0,1.0,0.0
2025-07-16,Utilities,12,12,7.833333333333333,0.5,2.0,1.0,0.4,2,2,0,1.0,1.5,0.0
2025-07-17,Banking,6,6,4.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-17,ConsumerDiscretionary,20,20,16.666666666666664,0.1111111111111111,1.0,1.0,0.13043478260869565,1,8,0,1.0,6.666666666666666,0.0
2025-07-17,ConsumerStaples,6,6,5.333333333333333,-0.8,-4.0,-4.0,-0.9230769230769231,0,1,4,0.0,0.3333333333333333,4.0
2025-07-17,Energy,7,7,5.333333333333334,0.0,0.0,0.0,0.0,0,2,0,0.0,1.3333333333333333,0.0
2025-07-17,Healthcare,1,1,0.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-17,IndustrialLogistics,6,6,5.5,1.0,3.0,3.0,1.0,3,0,0,3.0,0.0,0.0
2025-07-17,RealEstate,3,3,3.0,,,,,0,0,0,0.0,0.0,0.0
2025-07-17,SteelMaterials,7,7,5.333333333333334,-0.3333333333333333,-1.0,-1.0,-0.4285714285714286,0,2,1,0.0,1.3333333333333333,1.0
2025-07-17,Technology,6,6,4.833333333333333,0.6,3.0,3.0,0.7826086956521738,3,2,0,3.0,0.8333333333333333,0.0
2025-07-17,Utilities,12,12,6.999999999999999,0.0,0.0,0.0,0.0,0,5,0,0.0,2.5,0.0
2025-07-18,Banking,9,9,8.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-18,ConsumerDiscretionary,17,17,14.5,0.3333333333333333,3.0,2.5,0.3125,3,6,0,2.5,5.5,0.0
2025-07-18,ConsumerStaples,5,5,4.5,0.25,1.0,1.0,0.25,2,1,1,2.0,1.0,1.0
2025-07-18,Energy,6,6,4.333333333333334,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-18,Healthcare,2,2,2.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-18,IndustrialLogistics,6,6,4.5,0.5,1.0,1.0,0.5,1,1,0,1.0,1.0,0.0
2025-07-18,RealEstate,4,4,3.5,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-18,SteelMaterials,5,5,4.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-18,Technology,4,4,2.333333333333333,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-18,Utilities,9,9,7.333333333333333,0.2,1.0,0.5,0.125,1,4,0,0.5,3.5,0.0
2025-07-21,Banking,20,20,14.833333333333332,,,,,0,0,0,0.0,0.0,0.0
2025-07-21,ConsumerDiscretionary,32,32,28.833333333333336,0.125,2.0,0.5,0.037500000000000006,4,10,2,2.5,8.833333333333332,2.0
2025-07-21,ConsumerStaples,30,30,25.166666666666664,0.25,5.0,5.0,0.28037383177570097,8,9,3,8.0,6.833333333333333,3.0
2025-07-21,Energy,10,10,6.166666666666666,0.2857142857142857,2.0,1.0,0.31578947368421056,2,5,0,1.0,2.1666666666666665,0.0
2025-07-21,Healthcare,7,7,7.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0
2025-07-21,IndustrialLogistics,10,10,9.0,0.5,2.0,2.0,0.5,2,2,0,2.0,2.0,0.0
2025-07-21,RealEstate,4,4,3.5,,,,,0,0,0,0.0,0.0,0.0
2025-07-21,SteelMaterials,12,12,9.0,1.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0
2025-07-21,Technology,11,11,9.0,0.2222222222222222,2.0,2.0,0.26666666666666666,4,3,2,3.5,2.5,1.5
2025-07-21,Utilities,28,28,20.5,0.23076923076923078,3.0,2.5,0.30612244897959184,4,8,1,3.0,4.666666666666666,0.5
