s_sector,r_sector,lag,corr,pvalue,significant,n_obs
Banking,Utilities,4,-0.020226921141954134,0.7522580455922747,False,246
Banking,Utilities,5,-0.01163360466406075,0.8562344523628955,False,245
RealEstate,Banking,0,0.13883225652202272,0.028180166579166565,True,250
RealEstate,Banking,1,-0.05916134534584979,0.35254326682573706,False,249
RealEstate,Banking,2,-0.100890927678235,0.1130000777229984,False,248
RealEstate,Banking,3,-8.29032290488238e-05,0.9989656886918588,False,247
RealEstate,Banking,4,0.05114096277070147,0.42455022007918924,False,246
RealEstate,Banking,5,-0.00885523731124091,0.8903192526037015,False,245
RealEstate,RealEstate,0,0.17282734934315647,0.006151567237620382,True,250
RealEstate,RealEstate,1,0.09067951441070743,0.1536838292919655,False,249
RealEstate,RealEstate,2,-0.01334935640306642,0.8343130921244244,False,248
RealEstate,RealEstate,3,-0.09108155829089183,0.15353205690417984,False,247
RealEstate,RealEstate,4,-0.03806163757307837,0.5524129378873557,False,246
RealEstate,RealEstate,5,-0.05165591138103413,0.4208511117439393,False,245
RealEstate,SteelMaterials,0,-0.019904739184525334,0.7541474433808529,False,250
RealEstate,SteelMaterials,1,-0.11567802620659651,0.06840856734784627,False,249
RealEstate,SteelMaterials,2,0.0015121616870929638,0.9810972884588618,False,248
RealEstate,SteelMaterials,3,-0.004307001854565604,0.9463056211142021,False,247
RealEstate,SteelMaterials,4,-0.0015308141898979777,0.9809422583752607,False,246
RealEstate,SteelMaterials,5,-0.04700486134613585,0.46393375516415536,False,245
RealEstate,Technology,0,0.016726939826334355,0.7924202295100181,False,250
RealEstate,Technology,1,-0.07748660840989055,0.2230726197428793,False,249
RealEstate,Technology,2,-0.13120208617722495,0.038954477156748275,True,248
RealEstate,Technology,3,-0.06370836295179605,0.31867230726285667,False,247
RealEstate,Technology,4,0.044160969875873576,0.49054237322028976,False,246
RealEstate,Technology,5,-0.001409031597638201,0.9824941785414436,False,245
RealEstate,ConsumerStaples,0,0.042376682294008955,0.5047874864412576,False,250
RealEstate,ConsumerStaples,1,-0.08078941454691083,0.2039070748000587,False,249
RealEstate,ConsumerStaples,2,-0.13785558976633555,0.029979816190392732,True,248
RealEstate,ConsumerStaples,3,-0.022204371277100565,0.7284097140473309,False,247
RealEstate,ConsumerStaples,4,0.07735709162195277,0.22668922032002736,False,246
RealEstate,ConsumerStaples,5,-0.03293106630706449,0.6079822239912406,False,245
RealEstate,ConsumerDiscretionary,0,-0.006297698355226269,0.9210768872898197,False,250
RealEstate,ConsumerDiscretionary,1,-0.14380964594276607,0.023227612124645653,True,249
RealEstate,ConsumerDiscretionary,2,-0.0938182080670966,0.14068694644442276,False,248
RealEstate,ConsumerDiscretionary,3,-0.06319167865290884,0.3226209001719109,False,247
RealEstate,ConsumerDiscretionary,4,0.005854720699942471,0.9272059166045701,False,246
RealEstate,ConsumerDiscretionary,5,-0.05470027080056174,0.3939618992028719,False,245
RealEstate,Energy,0,0.07428119313463812,0.2419123815176547,False,250
RealEstate,Energy,1,-0.021175045294900892,0.7395173377717511,False,249
RealEstate,Energy,2,-0.09955730919435563,0.11786528654806848,False,248
RealEstate,Energy,3,0.10249830519290856,0.1080651048007824,False,247
RealEstate,Energy,4,0.05587154105623747,0.38291963023361225,False,246
RealEstate,Energy,5,0.049163078437249756,0.4436454357301111,False,245
RealEstate,IndustrialLogistics,0,0.0731963652118923,0.24887610537126495,False,250
RealEstate,IndustrialLogistics,1,-0.1692411000139715,0.00744008240274532,True,249
RealEstate,IndustrialLogistics,2,-0.10622664287803324,0.09509095988780787,False,248
RealEstate,IndustrialLogistics,3,-0.1266391837533578,0.04678880897299479,True,247
RealEstate,IndustrialLogistics,4,-0.014474643133429513,0.8212936271981885,False,246
RealEstate,IndustrialLogistics,5,0.0247560687205226,0.6998142619819109,False,245
RealEstate,Healthcare,0,-0.13997812541923726,0.026893261386471565,True,250
RealEstate,Healthcare,1,-0.07922625095581298,0.21282392266336497,False,249
RealEstate,Healthcare,2,-0.049704106201874265,0.4358216249645421,False,248
RealEstate,Healthcare,3,0.046181914298988894,0.4699811819623931,False,247
RealEstate,Healthcare,4,-0.022775790009952404,0.7222517458242684,False,246
RealEstate,Healthcare,5,-0.09169454775422367,0.15245229776761723,False,245
RealEstate,Utilities,0,0.0043194382946337255,0.9458219633540685,False,250
RealEstate,Utilities,1,-0.10043656299375237,0.11390374144014405,False,249
RealEstate,Utilities,2,-0.1255368411651639,0.0482922579521112,True,248
RealEstate,Utilities,3,-0.07403307869073897,0.24637035205827376,False,247
RealEstate,Utilities,4,-0.0512907950505893,0.42319261614926273,False,246
RealEstate,Utilities,5,-0.032455539726644174,0.6131762588265028,False,245
SteelMaterials,Banking,0,0.026544877224184873,0.6761799449884524,False,250
SteelMaterials,Banking,1,0.06307859891854789,0.3215182661844283,False,249
SteelMaterials,Banking,2,0.05862472500924487,0.3579125869180916,False,248
SteelMaterials,Banking,3,-0.025035877610140707,0.695401683482506,False,247
SteelMaterials,Banking,4,0.0025602318724520026,0.9681320228884647,False,246
SteelMaterials,Banking,5,0.02575451648082895,0.6883266915643083,False,245
SteelMaterials,RealEstate,0,0.07746048563323278,0.2222926522046734,False,250
SteelMaterials,RealEstate,1,0.080958380655186,0.20295966158209258,False,249
SteelMaterials,RealEstate,2,-0.07285034048800258,0.25305034073205007,False,248
SteelMaterials,RealEstate,3,-0.0743599135787024,0.24428529219771405,False,247
SteelMaterials,RealEstate,4,0.07624475837774465,0.23345864382769937,False,246
SteelMaterials,RealEstate,5,-0.08827905681886515,0.1683855490654547,False,245
SteelMaterials,SteelMaterials,0,0.0023431106286926975,0.970594866828306,False,250
SteelMaterials,SteelMaterials,1,-0.05623891831775918,0.3768746823220587,False,249
SteelMaterials,SteelMaterials,2,0.011906111661369697,0.8520079845865455,False,248
SteelMaterials,SteelMaterials,3,0.06988285803266059,0.27392767113717487,False,247
SteelMaterials,SteelMaterials,4,-0.013372491928257624,0.834697723778843,False,246
SteelMaterials,SteelMaterials,5,8.300954946142015e-05,0.998968606640247,False,245
SteelMaterials,Technology,0,0.018918539298095498,0.7659657897914858,False,250
SteelMaterials,Technology,1,0.0858627110276424,0.17683361810274797,False,249
SteelMaterials,Technology,2,0.08714043842975346,0.17132470442371295,False,248
SteelMaterials,Technology,3,0.004205324423281531,0.9475713730289851,False,247
SteelMaterials,Technology,4,-0.052129707649281334,0.41563817535504016,False,246
SteelMaterials,Technology,5,0.05186816258900908,0.41894238636375825,False,245
SteelMaterials,ConsumerStaples,0,-0.023200168256717918,0.7150833071607469,False,250
SteelMaterials,ConsumerStaples,1,0.07274032267832847,0.2528049336908657,False,249
SteelMaterials,ConsumerStaples,2,0.02391904652329546,0.7077882672132927,False,248
SteelMaterials,ConsumerStaples,3,-0.0023136737026484486,0.9711405592679615,False,247
SteelMaterials,ConsumerStaples,4,0.013762548965673305,0.8299482731032035,False,246
SteelMaterials,ConsumerStaples,5,0.04925423896878349,0.44279971524119915,False,245
SteelMaterials,ConsumerDiscretionary,0,-0.014427018603412634,0.82043943509248,False,250
SteelMaterials,ConsumerDiscretionary,1,0.009017582751416542,0.8874102283251537,False,249
SteelMaterials,ConsumerDiscretionary,2,-0.03609435361613909,0.5715792576367815,False,248
SteelMaterials,ConsumerDiscretionary,3,-0.01606377503192996,0.8016613208636217,False,247
SteelMaterials,ConsumerDiscretionary,4,-0.028471082926024172,0.6567771221387104,False,246
SteelMaterials,ConsumerDiscretionary,5,-0.014429919569373926,0.822196648076626,False,245
SteelMaterials,Energy,0,0.005003269258788303,0.9372611682612906,False,250
SteelMaterials,Energy,1,0.13921030169054766,0.02806663136254759,True,249
SteelMaterials,Energy,2,0.16242731633454888,0.0104064987572318,True,248
SteelMaterials,Energy,3,0.05355488747093989,0.40202326912823805,False,247
SteelMaterials,Energy,4,-0.03394815302689153,0.596183462584441,False,246
SteelMaterials,Energy,5,0.05142255876341023,0.4229554406959076,False,245
SteelMaterials,IndustrialLogistics,0,0.00614829432275011,0.9229433599380195,False,250
SteelMaterials,IndustrialLogistics,1,0.08630717957855549,0.17459505256782024,False,249
SteelMaterials,IndustrialLogistics,2,0.05508978283640552,0.3876823623792499,False,248
SteelMaterials,IndustrialLogistics,3,0.0008697787945033952,0.9891488577607984,False,247
SteelMaterials,IndustrialLogistics,4,-0.048161543561226206,0.45206702420253153,False,246
SteelMaterials,IndustrialLogistics,5,-0.004422354806406417,0.9450953757727848,False,245
SteelMaterials,Healthcare,0,0.04186666119099808,0.5099333104375068,False,250
SteelMaterials,Healthcare,1,0.06416514928600202,0.3132366043828062,False,249
SteelMaterials,Healthcare,2,0.07710084867407502,0.22633530929189755,False,248
SteelMaterials,Healthcare,3,-0.11697209577044956,0.066455182814409,False,247
SteelMaterials,Healthcare,4,0.046426726509364635,0.4685397822813984,False,246
SteelMaterials,Healthcare,5,-0.05075414426426797,0.42901685750980884,False,245
SteelMaterials,Utilities,0,-0.023012047070528445,0.7172945604374771,False,250
SteelMaterials,Utilities,1,-0.0013426378286770443,0.9831819405998863,False,249
SteelMaterials,Utilities,2,-0.0026560033250443756,0.9668051814247526,False,248
SteelMaterials,Utilities,3,0.0015037053577150765,0.9812412919226476,False,247
SteelMaterials,Utilities,4,-0.04897063201748528,0.4444971025156244,False,246
