source_sector,target_sector,source_variable,target_variable,best_lag,n_obs,f_stat,p_value,p_value_fdr_bh,p_value_bonferroni,significant_raw_05,significant_fdr_05,significant_bonferroni_05,alpha,lag_selection_method,ljungbox_pvalue,ljungbox_white_noise,status,error_message,edge_weight
ConsumerStaples,Technology,sent_ConsumerStaples,sent_Technology,5,290,0.9489382337596922,0.4497450622742739,0.5544802137628034,1.0,False,False,False,0.05,var_aic,0.7889729064704156,True,ok,,0.25611394673204174
ConsumerStaples,ConsumerDiscretionary,sent_ConsumerStaples,sent_ConsumerDiscretionary,3,290,4.876015085236225,0.0025429194803766974,0.02080570483944571,0.22886275323390276,True,True,False,0.05,var_aic,0.203521830365724,True,ok,,1.6818175669319904
ConsumerStaples,Energy,sent_ConsumerStaples,sent_Energy,3,290,0.7334941276796261,0.5327787805850814,0.6227284448397056,1.0,False,False,False,0.05,var_aic,0.40767603689853404,True,ok,,0.20570129622692213
ConsumerStaples,IndustrialLogistics,sent_ConsumerStaples,sent_IndustrialLogistics,3,290,0.3781977767701598,0.7687964478610774,0.8014184366288031,1.0,False,False,False,0.05,var_aic,0.41071172855314114,True,ok,,0.09614067084510375
ConsumerStaples,Healthcare,sent_ConsumerStaples,sent_Healthcare,3,290,3.275742411050527,0.021532087173366125,0.08074532690012297,1.0,True,False,False,0.05,var_aic,0.1859478885942183,True,ok,,1.0928826028695169
ConsumerStaples,Utilities,sent_ConsumerStaples,sent_Utilities,5,290,1.2009448447156252,0.30892721107551596,0.4278550714722469,1.0,False,False,False,0.05,var_aic,0.1570471102899824,True,ok,,0.36870331584400334
ConsumerDiscretionary,Banking,sent_ConsumerDiscretionary,sent_Banking,5,290,1.486579643991817,0.19428838888923514,0.32992367924587096,1.0,False,False,False,0.05,var_aic,0.47808947606926333,True,ok,,0.48158651320044
ConsumerDiscretionary,RealEstate,sent_ConsumerDiscretionary,sent_RealEstate,4,290,2.4937037884966737,0.04330746727833851,0.10894043514450023,1.0,True,False,False,0.05,var_aic,0.2928283388448055,True,ok,,0.9628108943421427
ConsumerDiscretionary,SteelMaterials,sent_ConsumerDiscretionary,sent_SteelMaterials,5,290,0.825269548517783,0.532564833237734,0.6227284448397056,1.0,False,False,False,0.05,var_aic,0.3414211061982515,True,ok,,0.20570129622692213
ConsumerDiscretionary,Technology,sent_ConsumerDiscretionary,sent_Technology,5,290,2.038907686233588,0.07344262611073438,0.15371712441781613,1.0,False,False,False,0.05,var_aic,0.20029774799225517,True,ok,,0.8132777484670939
ConsumerDiscretionary,ConsumerStaples,sent_ConsumerDiscretionary,sent_ConsumerStaples,3,290,3.8822008395965684,0.009608863185326751,0.04804431592663375,0.8647976866794076,True,True,False,0.05,var_aic,0.20352183036572388,True,ok,,1.3183579858875987
ConsumerDiscretionary,Energy,sent_ConsumerDiscretionary,sent_Energy,5,290,3.307730895344223,0.006439278987736526,0.03720895487208462,0.5795351088962873,True,True,False,0.05,var_aic,0.31507773163404484,True,ok,,1.4293525283031359
ConsumerDiscretionary,IndustrialLogistics,sent_ConsumerDiscretionary,sent_IndustrialLogistics,5,290,0.6318586424368928,0.675586112479517,0.7325632544958618,1.0,False,False,False,0.05,var_aic,0.3817180976362922,True,ok,,0.13515486941418836
ConsumerDiscretionary,Healthcare,sent_ConsumerDiscretionary,sent_Healthcare,5,290,1.8178092009995555,0.10945317601247671,0.20103644573720214,1.0,False,False,False,0.05,var_aic,0.19957247248889085,True,ok,,0.6967252025410545
ConsumerDiscretionary,Utilities,sent_ConsumerDiscretionary,sent_Utilities,5,290,1.982141263081518,0.08144845362578682,0.1665991096891094,1.0,False,False,False,0.05,var_aic,0.4081182167767672,True,ok,,0.7783273238064228
Energy,Banking,sent_Energy,sent_Banking,4,290,4.97775777297916,0.0006871116275203697,0.012368009295366654,0.06184004647683327,True,True,False,0.05,var_aic,0.4033013762186487,True,ok,,1.9077001970249639
Energy,RealEstate,sent_Energy,sent_RealEstate,2,290,3.6435558361722817,0.02739387095048473,0.09142739466112276,1.0,True,False,False,0.05,var_aic,0.23754598302451535,True,ok,,1.0389236558245707
Energy,SteelMaterials,sent_Energy,sent_SteelMaterials,4,290,1.51487260159092,0.19797691451139027,0.32996152418565045,1.0,False,False,False,0.05,var_aic,0.5008508158892375,True,ok,,0.48153669893442297
Energy,Technology,sent_Energy,sent_Technology,5,290,1.4056838792889803,0.22231012531018374,0.3572841299627953,1.0,False,False,False,0.05,var_aic,0.6144617466931913,True,ok,,0.44698627409326563
Energy,ConsumerStaples,sent_Energy,sent_ConsumerStaples,3,290,1.2916699117790627,0.2775195795913439,0.40285100263259593,1.0,False,False,False,0.05,var_aic,0.4076760368985338,True,ok,,0.39485555112813187
Energy,ConsumerDiscretionary,sent_Energy,sent_ConsumerDiscretionary,5,290,0.6701796900982933,0.6463867503725824,0.7094488723601514,1.0,False,False,False,0.05,var_aic,0.31507773163404534,True,ok,,0.14907889724941142
Energy,IndustrialLogistics,sent_Energy,sent_IndustrialLogistics,5,290,2.564592497270421,0.02742821839833683,0.09142739466112276,1.0,True,False,False,0.05,var_aic,0.8088335274235638,True,ok,,1.0389236558245707
Energy,Healthcare,sent_Energy,sent_Healthcare,3,290,4.969296424350264,0.0022441549693178655,0.02080570483944571,0.2019739472386079,True,True,False,0.05,var_aic,0.24613459464234494,True,ok,,1.6818175669319904
Energy,Utilities,sent_Energy,sent_Utilities,3,290,5.216279395563052,0.0016118055709442218,0.018132812673122493,0.14506250138497997,True,True,False,0.05,var_aic,0.004808755183683925,False,ok,,1.741534825045537
IndustrialLogistics,Banking,sent_IndustrialLogistics,sent_Banking,3,290,7.60417672051684,6.618646997159257e-05,0.0029783911487216656,0.005956782297443332,True,True,True,0.05,var_aic,0.5502625290495884,True,ok,,2.526018267438016
IndustrialLogistics,RealEstate,sent_IndustrialLogistics,sent_RealEstate,4,290,4.619975937842261,0.0012600771365556883,0.01620099175571599,0.11340694229001194,True,True,False,0.05,var_aic,0.6895220681560399,True,ok,,1.790458398985064
IndustrialLogistics,SteelMaterials,sent_IndustrialLogistics,sent_SteelMaterials,3,290,2.911192738141694,0.034865929005364116,0.10122366485428291,1.0,True,False,False,0.05,var_aic,0.36224627166953194,True,ok,,0.9947179428899176
IndustrialLogistics,Technology,sent_IndustrialLogistics,sent_Technology,5,290,2.1514359635493427,0.0597113950256977,0.13692075713482008,1.0,False,False,False,0.05,var_aic,0.9167688603792434,True,ok,,0.8635307079962897
IndustrialLogistics,ConsumerStaples,sent_IndustrialLogistics,sent_ConsumerStaples,3,290,2.2153642257734774,0.08655530175144374,0.17311060350288748,1.0,False,False,False,0.05,var_aic,0.41071172855314086,True,ok,,0.7616763295725888
IndustrialLogistics,ConsumerDiscretionary,sent_IndustrialLogistics,sent_ConsumerDiscretionary,5,290,2.3279454332496674,0.0429625786700574,0.10894043514450023,1.0,True,False,False,0.05,var_aic,0.3817180976362911,True,ok,,0.9628108943421427
IndustrialLogistics,Energy,sent_IndustrialLogistics,sent_Energy,5,290,6.364152487651188,1.3063259488010703e-05,0.0011756933539209633,0.0011756933539209633,True,True,True,0.05,var_aic,0.8088335274235625,True,ok,,2.9297059368193397
IndustrialLogistics,Healthcare,sent_IndustrialLogistics,sent_Healthcare,3,290,2.409750856228015,0.06726130832810207,0.14413137498879014,1.0,False,False,False,0.05,var_aic,0.14400150902235162,True,ok,,0.8412414702524973
IndustrialLogistics,Utilities,sent_IndustrialLogistics,sent_Utilities,5,290,3.8102179654621504,0.0023625826086887194,0.02080570483944571,0.21263243478198474,True,True,False,0.05,var_aic,0.34080643871413824,True,ok,,1.6818175669319904
Healthcare,Banking,sent_Healthcare,sent_Banking,3,290,1.5912741454274606,0.19169277819769648,0.32992367924587096,1.0,False,False,False,0.05,var_aic,0.13325441927142798,True,ok,,0.48158651320044
Healthcare,RealEstate,sent_Healthcare,sent_RealEstate,3,290,3.2881955543745214,0.02117946464377701,0.08074532690012297,1.0,True,False,False,0.05,var_aic,0.12060971064797706,True,ok,,1.0928826028695169
Healthcare,SteelMaterials,sent_Healthcare,sent_SteelMaterials,3,290,0.8018097202179884,0.4937419812521332,0.5924903775025598,1.0,False,False,False,0.05,var_aic,0.05419384892038257,True,ok,,0.22731869853553832
Healthcare,Technology,sent_Healthcare,sent_Technology,5,290,0.40164849100219174,0.8475039527971685,0.8647564744383622,1.0,False,False,False,0.05,var_aic,0.27434342506446413,True,ok,,0.06310617773530884
Healthcare,ConsumerStaples,sent_Healthcare,sent_ConsumerStaples,3,290,1.2617611504454858,0.28779249310643756,0.41113213300919654,1.0,False,False,False,0.05,var_aic,0.1859478885942183,True,ok,,0.386018578575485
Healthcare,ConsumerDiscretionary,sent_Healthcare,sent_ConsumerDiscretionary,5,290,1.2867866929139313,0.26972555545234705,0.40145696898318006,1.0,False,False,False,0.05,var_aic,0.19957247248889085,True,ok,,0.3963609986659563
Healthcare,Energy,sent_Healthcare,sent_Energy,3,290,0.2586344158135789,0.855148069166825,0.8647564744383622,1.0,False,False,False,0.05,var_aic,0.2461345946423455,True,ok,,0.06310617773530884
Healthcare,IndustrialLogistics,sent_Healthcare,sent_IndustrialLogistics,3,290,2.4865762563006952,0.06085366983769781,0.13692075713482008,1.0,False,False,False,0.05,var_aic,0.14400150902235195,True,ok,,0.8635307079962897
Healthcare,Utilities,sent_Healthcare,sent_Utilities,4,290,0.9667305349508064,0.4261249398373532,0.5401583744417153,1.0,False,False,False,0.05,var_aic,0.13598584002131417,True,ok,,0.2674788863588659
Utilities,Banking,sent_Utilities,sent_Banking,5,290,2.496667941618059,0.031223172640014295,0.09689950129659608,1.0,True,False,False,0.05,var_aic,0.5067068846201387,True,ok,,1.0136784580853933
Utilities,RealEstate,sent_Utilities,sent_RealEstate,4,290,5.239376865352059,0.0004407032607396356,0.009915823366641801,0.039663293466567204,True,True,True,0.05,var_aic,0.2634458168062353,True,ok,,2.003671218045404
Utilities,SteelMaterials,sent_Utilities,sent_SteelMaterials,3,290,6.374657625493862,0.00034159400331110174,0.009915823366641801,0.030743460297999157,True,True,True,0.05,var_aic,0.01768495474020994,False,ok,,2.003671218045404
Utilities,Technology,sent_Utilities,sent_Technology,5,290,1.2813101203086545,0.27209861231082205,0.40145696898318006,1.0,False,False,False,0.05,var_aic,0.3835182054594435,True,ok,,0.3963609986659563
Utilities,ConsumerStaples,sent_Utilities,sent_ConsumerStaples,5,290,0.6895366991949281,0.6317453957177591,0.7019393285752878,1.0,False,False,False,0.05,var_aic,0.1570471102899828,True,ok,,0.15370042405775183
Utilities,ConsumerDiscretionary,sent_Utilities,sent_ConsumerDiscretionary,5,290,1.0043057379471914,0.4154883800023546,0.5341993457173131,1.0,False,False,False,0.05,var_aic,0.4081182167767672,True,ok,,0.27229664823440364
Utilities,Energy,sent_Utilities,sent_Energy,3,290,1.8302074321654778,0.14183331065264818,0.2552999591747667,1.0,False,False,False,0.05,var_aic,0.0048087551836839566,False,ok,,0.5929492546441435
Utilities,IndustrialLogistics,sent_Utilities,sent_IndustrialLogistics,5,290,1.3366703936057507,0.248890172448369,0.3862088882819519,1.0,False,False,False,0.05,var_aic,0.34080643871413874,True,ok,,0.41317773550901643
Utilities,Healthcare,sent_Utilities,sent_Healthcare,4,290,1.1228149718371365,0.34596752427652255,0.4578981938953975,1.0,False,False,False,0.05,var_aic,0.13598584002131384,True,ok,,0.3392310694725419
